n_components;n_neighbors;min_cluster_size;min_dist;coherence;diversity;score;n_topics;topic0_count
4;19;15;0,3;0,432183906;0,866666667;0,374559385;6;4716
4;19;16;0,3;0,432183906;0,866666667;0,374559385;6;4716
4;19;18;0,3;0,432183906;0,866666667;0,374559385;6;4716
4;19;19;0,3;0,432183906;0,866666667;0,374559385;6;4716
2;19;15;0,3;0,432183906;0,866666667;0,374559385;6;4715
2;19;16;0,3;0,432183906;0,866666667;0,374559385;6;4715
4;19;17;0,3;0,432183906;0,866666667;0,374559385;6;4716
2;19;17;0,3;0,426019926;0,85;0,362116937;6;4714
2;19;18;0,3;0,426019926;0,85;0,362116937;6;4714
2;19;19;0,3;0,426019926;0,85;0,362116937;6;4714
3;18;14;0,3;0,440052626;0,771428571;0,339469169;7;4696
4;13;17;0,5;0,432458102;0,771428571;0,333610536;7;4709
4;13;19;0,5;0,432458102;0,771428571;0,333610536;7;4709
4;13;18;0,5;0,432458102;0,771428571;0,333610536;7;4709
2;18;17;0,1;0,467680614;0,711111111;0,332572881;9;4448
2;18;18;0,1;0,467680614;0,711111111;0,332572881;9;4448
3;18;13;0,5;0,421630343;0,785714286;0,331280983;7;4708
3;18;12;0,5;0,421630343;0,785714286;0,331280983;7;4708
3;18;14;0,5;0,421630343;0,785714286;0,331280983;7;4708
3;18;10;0,5;0,421630343;0,785714286;0,331280983;7;4708
2;18;14;0,5;0,421630343;0,785714286;0,331280983;7;4708
2;18;12;0,5;0,421630343;0,785714286;0,331280983;7;4708
2;18;13;0,5;0,421630343;0,785714286;0,331280983;7;4708
3;18;11;0,5;0,421630343;0,785714286;0,331280983;7;4708
4;19;18;0,1;0,443977334;0,742857143;0,329811734;7;4696
4;19;17;0,1;0,443977334;0,742857143;0,329811734;7;4696
4;19;16;0,1;0,443977334;0,742857143;0,329811734;7;4696
4;19;15;0,1;0,443977334;0,742857143;0,329811734;7;4696
2;19;13;0,3;0,432494485;0,7625;0,329777045;8;4516
2;18;14;0,3;0,419669608;0,785714286;0,329740406;7;4708
2;18;12;0,3;0,419669608;0,785714286;0,329740406;7;4708
4;10;19;0,5;0,393384522;0,833333333;0,327820435;6;4721
2;16;18;0,3;0,462132258;0,7;0,323492581;10;4449
3;15;14;0,5;0,417085793;0,771428571;0,321751898;7;4709
2;18;10;0,3;0,476587385;0,675;0,321696485;8;4708
2;18;13;0,3;0,408395403;0,785714286;0,320882103;7;4708
4;18;17;0,3;0,389825227;0,814285714;0,317429114;7;4517
4;18;16;0,3;0,389825227;0,814285714;0,317429114;7;4517
4;18;18;0,3;0,389825227;0,814285714;0,317429114;7;4517
4;18;15;0,3;0,389825227;0,814285714;0,317429114;7;4517
4;11;19;0,5;0,38749363;0,816666667;0,316453131;6;4721
4;11;16;0,5;0,38749363;0,816666667;0,316453131;6;4721
4;11;15;0,5;0,38749363;0,816666667;0,316453131;6;4721
4;11;18;0,5;0,38749363;0,816666667;0,316453131;6;4721
4;11;17;0,5;0,38749363;0,816666667;0,316453131;6;4721
2;18;19;0,1;0,442843131;0,7125;0,315525731;8;4514
3;18;19;0,1;0,43504893;0,725;0,315410474;8;4518
3;19;11;0,3;0,403340286;0,775;0,312588722;8;4703
3;19;10;0,3;0,403340286;0,775;0,312588722;8;4703
4;12;19;0,5;0,403850854;0,771428571;0,311542087;7;4709
4;12;18;0,5;0,403850854;0,771428571;0,311542087;7;4709
4;18;11;0,3;0,407639961;0,7625;0,31082547;8;4704
4;18;10;0,3;0,407639961;0,7625;0,31082547;8;4704
2;19;17;0,1;0,395709816;0,783333333;0,309972689;6;4730
2;19;18;0,1;0,395709816;0,783333333;0,309972689;6;4730
2;19;19;0,1;0,395709816;0,783333333;0,309972689;6;4730
2;19;16;0,1;0,395709816;0,783333333;0,309972689;6;4730
4;18;12;0,3;0,391867755;0,785714286;0,307896093;7;4716
3;19;14;0,3;0,391867755;0,785714286;0,307896093;7;4715
3;19;12;0,3;0,391867755;0,785714286;0,307896093;7;4715
4;18;13;0,3;0,391867755;0,785714286;0,307896093;7;4716
3;19;13;0,3;0,391867755;0,785714286;0,307896093;7;4715
2;18;11;0,5;0,408360367;0,75;0,306270275;8;4692
3;18;16;0,3;0,374594201;0,816666667;0,305918597;6;4696
3;18;17;0,3;0,374594201;0,816666667;0,305918597;6;4696
3;18;15;0,3;0,374594201;0,816666667;0,305918597;6;4696
3;19;16;0,1;0,43441066;0,7;0,304087462;8;4518
3;19;15;0,1;0,43441066;0,7;0,304087462;8;4518
3;18;19;0,3;0,441563488;0,6875;0,303574898;8;4515
3;18;18;0,3;0,441563488;0,6875;0,303574898;8;4514
4;18;10;0,1;0,408834952;0,74137931;0,303101775;58;350
2;19;11;0,3;0,400150964;0,75;0,300113223;8;4696
3;16;13;0,1;0,39308357;0,759090909;0,298386165;44;376
2;12;15;0,5;0,434307603;0,685714286;0,297810928;7;4708
2;12;16;0,5;0,434307603;0,685714286;0,297810928;7;4708
2;12;19;0,5;0,434307603;0,685714286;0,297810928;7;4708
2;12;18;0,5;0,434307603;0,685714286;0,297810928;7;4708
2;12;17;0,5;0,434307603;0,685714286;0,297810928;7;4708
3;16;17;0,5;0,378672182;0,783333333;0,296626542;6;4709
2;11;13;0,1;0,462702621;0,638235294;0,295313143;34;2957
3;18;18;0,5;0,368954323;0,8;0,295163458;6;4707
3;18;17;0,5;0,368954323;0,8;0,295163458;6;4707
3;18;16;0,5;0,368954323;0,8;0,295163458;6;4708
3;18;15;0,5;0,368954323;0,8;0,295163458;6;4708
2;18;18;0,5;0,368954323;0,8;0,295163458;6;4708
2;18;16;0,5;0,368954323;0,8;0,295163458;6;4708
4;18;18;0,1;0,365893389;0,8;0,292714711;6;4715
4;18;16;0,1;0,365893389;0,8;0,292714711;6;4715
4;18;19;0,1;0,365893389;0,8;0,292714711;6;4715
4;18;17;0,1;0,365893389;0,8;0,292714711;6;4715
3;18;19;0,5;0,365320082;0,8;0,292256066;6;4706
4;16;16;0,1;0,424467708;0,6875;0,291821549;8;4688
4;16;18;0,1;0,424467708;0,6875;0,291821549;8;4688
4;16;19;0,1;0,424467708;0,6875;0,291821549;8;4688
4;16;17;0,1;0,424467708;0,6875;0,291821549;8;4688
4;18;14;0,3;0,430418929;0,677777778;0,291728385;9;4517
2;18;18;0,3;0,3636887;0,8;0,29095096;6;4708
2;18;17;0,3;0,3636887;0,8;0,29095096;6;4708
2;18;16;0,3;0,3636887;0,8;0,29095096;6;4708
2;18;15;0,3;0,3636887;0,8;0,29095096;6;4708
2;18;19;0,3;0,3636887;0,8;0,29095096;6;4708
3;18;13;0,3;0,435428966;0,666666667;0,290285978;9;4514
2;14;19;0,3;0,44559525;0,65;0,289636912;10;4430
3;15;17;0,1;0,445434316;0,65;0,289532306;10;4518
4;18;14;0,1;0,445434316;0,65;0,289532306;10;4516
3;15;18;0,1;0,445434316;0,65;0,289532306;10;4518
3;15;19;0,1;0,445434316;0,65;0,289532306;10;4518
3;16;11;0,1;0,381368092;0,754716981;0,287824975;53;380
2;13;19;0,3;0,428420449;0,671428571;0,28765373;7;4709
2;13;16;0,3;0,428420449;0,671428571;0,28765373;7;4709
2;13;17;0,3;0,428420449;0,671428571;0,28765373;7;4709
2;13;18;0,3;0,428420449;0,671428571;0,28765373;7;4709
