n_topics;ngram_range;coherence;diversity;score
15;(1, 2);0.5786538492379064;0.88;0.5092153873293577
16;(1, 2);0.5828503960325644;0.86875;0.5063512815532903
17;(1, 2);0.5906081046931053;0.8470588235294118;0.5002798063282774
18;(1, 2);0.5809760077227317;0.8555555555555555;0.4970572510516704
14;(1, 2);0.5565642292047385;0.8785714285714286;0.4889814299441631
19;(1, 2);0.5737856605710049;0.8473684210526315;0.4862078492206936
13;(1, 2);0.5601102941544543;0.8615384615384616;0.48255656111768375
12;(1, 2);0.5500815651304272;0.875;0.48132136948912374
11;(1, 2);0.5308860416916622;0.8636363636363636;0.45849249055189006
10;(1, 2);0.5191283742986056;0.87;0.45164168563978685
9;(1, 2);0.505794362229329;0.8666666666666667;0.4383551139320852
8;(1, 2);0.499501680471189;0.875;0.43706397041229034
8;(1, 1);0.4833955745868322;0.9;0.43505601712814895
13;(1, 1);0.5102083844009823;0.8461538461538461;0.43171478680083114
19;(1, 1);0.5211876474488853;0.8263157894736842;0.4306655823656579
9;(1, 1);0.48383044501180006;0.8888888888888888;0.4300715066771556
14;(1, 1);0.5131926023200721;0.8357142857142857;0.42888238908177456
15;(1, 1);0.5139067871284664;0.8133333333333334;0.4179775201978193
17;(1, 1);0.5133190014567014;0.8117647058823529;0.4166942482413223
12;(1, 1);0.5016609098747633;0.825;0.4138702506466797
18;(1, 1);0.5046876733176671;0.8166666666666667;0.41216159987609474
16;(1, 1);0.5111908869108619;0.80625;0.4121476525718824
11;(1, 1);0.49678303897968074;0.8181818181818182;0.4064588500742843
10;(1, 1);0.4863736403548762;0.83;0.4036901214945472
